lat,lon,lead_month,forecast_date,anom,init_year,init_month
8.5,-53.5,1,2026-09,0.6769,2026,8
8.5,-52.5,1,2026-09,0.6452,2026,8
8.5,-51.5,1,2026-09,0.6208,2026,8
8.5,-50.5,1,2026-09,0.5968,2026,8
8.5,-49.5,1,2026-09,0.5797,2026,8
8.5,-48.5,1,2026-09,0.5783,2026,8
8.5,-47.5,1,2026-09,0.5912,2026,8
8.5,-46.5,1,2026-09,0.602,2026,8
8.5,-45.5,1,2026-09,0.599,2026,8
8.5,-44.5,1,2026-09,0.6005,2026,8
8.5,-43.5,1,2026-09,0.6068,2026,8
8.5,-42.5,1,2026-09,0.6239,2026,8
8.5,-41.5,1,2026-09,0.6415,2026,8
8.5,-40.5,1,2026-09,0.6654,2026,8
8.5,-39.5,1,2026-09,0.6845,2026,8
8.5,-38.5,1,2026-09,0.7065,2026,8
8.5,-37.5,1,2026-09,0.7101,2026,8
8.5,-36.5,1,2026-09,0.7052,2026,8
8.5,-35.5,1,2026-09,0.6869,2026,8
8.5,-34.5,1,2026-09,0.6833,2026,8
8.5,-33.5,1,2026-09,0.7028,2026,8
8.5,-32.5,1,2026-09,0.7243,2026,8
8.5,-31.5,1,2026-09,0.7382,2026,8
8.5,-30.5,1,2026-09,0.7338,2026,8
7.5,-89.5,1,2026-09,1.7636,2026,8
7.5,-88.5,1,2026-09,1.8078,2026,8
7.5,-87.5,1,2026-09,1.8373,2026,8
7.5,-86.5,1,2026-09,1.8256,2026,8
7.5,-85.5,1,2026-09,1.8017,2026,8
7.5,-84.5,1,2026-09,1.7824,2026,8
7.5,-83.5,1,2026-09,1.9049,2026,8
7.5,-82.5,1,2026-09,1.9792,2026,8
7.5,-81.5,1,2026-09,2.0937,2026,8
7.5,-80.5,1,2026-09,1.7892,2026,8
7.5,-79.5,1,2026-09,1.5959,2026,8
7.5,-78.5,1,2026-09,1.6823,2026,8
7.5,-77.5,1,2026-09,1.7248,2026,8
7.5,-76.5,1,2026-09,1.724,2026,8
7.5,-75.5,1,2026-09,1.8876,2026,8
7.5,-74.5,1,2026-09,2.2465,2026,8
7.5,-73.5,1,2026-09,2.2773,2026,8
7.5,-72.5,1,2026-09,0.6901,2026,8
7.5,-71.5,1,2026-09,0.7433,2026,8
7.5,-70.5,1,2026-09,0.8778,2026,8
7.5,-69.5,1,2026-09,1.0932,2026,8
7.5,-68.5,1,2026-09,1.2174,2026,8
7.5,-67.5,1,2026-09,1.424,2026,8
7.5,-66.5,1,2026-09,1.5067,2026,8
7.5,-65.5,1,2026-09,1.4357,2026,8
7.5,-64.5,1,2026-09,1.631,2026,8
7.5,-63.5,1,2026-09,1.786,2026,8
7.5,-62.5,1,2026-09,1.4425,2026,8
7.5,-61.5,1,2026-09,1.3551,2026,8
7.5,-60.5,1,2026-09,0.9237,2026,8
7.5,-59.5,1,2026-09,0.9565,2026,8
7.5,-58.5,1,2026-09,0.8629,2026,8
7.5,-57.5,1,2026-09,0.745,2026,8
7.5,-56.5,1,2026-09,0.7707,2026,8
7.5,-55.5,1,2026-09,0.7209,2026,8
7.5,-54.5,1,2026-09,0.692,2026,8
7.5,-53.5,1,2026-09,0.6554,2026,8
7.5,-52.5,1,2026-09,0.6225,2026,8
7.5,-51.5,1,2026-09,0.5963,2026,8
7.5,-50.5,1,2026-09,0.5714,2026,8
7.5,-49.5,1,2026-09,0.5592,2026,8
7.5,-48.5,1,2026-09,0.5697,2026,8
7.5,-47.5,1,2026-09,0.5978,2026,8
7.5,-46.5,1,2026-09,0.6173,2026,8
7.5,-45.5,1,2026-09,0.6252,2026,8
7.5,-44.5,1,2026-09,0.6295,2026,8
7.5,-43.5,1,2026-09,0.6418,2026,8
7.5,-42.5,1,2026-09,0.6586,2026,8
7.5,-41.5,1,2026-09,0.6845,2026,8
7.5,-40.5,1,2026-09,0.7128,2026,8
7.5,-39.5,1,2026-09,0.7333,2026,8
7.5,-38.5,1,2026-09,0.7555,2026,8
7.5,-37.5,1,2026-09,0.7782,2026,8
7.5,-36.5,1,2026-09,0.7887,2026,8
7.5,-35.5,1,2026-09,0.7807,2026,8
7.5,-34.5,1,2026-09,0.7856,2026,8
7.5,-33.5,1,2026-09,0.8129,2026,8
7.5,-32.5,1,2026-09,0.8305,2026,8
7.5,-31.5,1,2026-09,0.8307,2026,8
7.5,-30.5,1,2026-09,0.8236,2026,8
6.5,-89.5,1,2026-09,1.734,2026,8
6.5,-88.5,1,2026-09,1.7567,2026,8
6.5,-87.5,1,2026-09,1.7563,2026,8
6.5,-86.5,1,2026-09,1.758,2026,8
6.5,-85.5,1,2026-09,1.7397,2026,8
6.5,-84.5,1,2026-09,1.757,2026,8
6.5,-83.5,1,2026-09,1.8214,2026,8
6.5,-82.5,1,2026-09,1.9198,2026,8
6.5,-81.5,1,2026-09,1.9096,2026,8
6.5,-80.5,1,2026-09,1.7816,2026,8
6.5,-79.5,1,2026-09,1.5946,2026,8
6.5,-78.5,1,2026-09,1.6283,2026,8
6.5,-77.5,1,2026-09,1.7428,2026,8
6.5,-76.5,1,2026-09,1.7055,2026,8
6.5,-75.5,1,2026-09,1.8527,2026,8
6.5,-74.5,1,2026-09,2.6149,2026,8
6.5,-73.5,1,2026-09,1.9457,2026,8
6.5,-72.5,1,2026-09,0.9667,2026,8
6.5,-71.5,1,2026-09,0.7956,2026,8
6.5,-70.5,1,2026-09,0.894,2026,8
6.5,-69.5,1,2026-09,1.008,2026,8
6.5,-68.5,1,2026-09,1.1432,2026,8
6.5,-67.5,1,2026-09,1.2016,2026,8
6.5,-66.5,1,2026-09,1.3041,2026,8
6.5,-65.5,1,2026-09,1.3139,2026,8
6.5,-64.5,1,2026-09,1.4491,2026,8
6.5,-63.5,1,2026-09,1.4247,2026,8
6.5,-62.5,1,2026-09,1.0717,2026,8
6.5,-61.5,1,2026-09,1.3051,2026,8
6.5,-60.5,1,2026-09,0.924,2026,8
6.5,-59.5,1,2026-09,0.9518,2026,8
6.5,-58.5,1,2026-09,1.1523,2026,8
6.5,-57.5,1,2026-09,1.0273,2026,8
6.5,-56.5,1,2026-09,0.6686,2026,8
6.5,-55.5,1,2026-09,0.6112,2026,8
6.5,-54.5,1,2026-09,0.5834,2026,8
6.5,-53.5,1,2026-09,0.5595,2026,8
6.5,-52.5,1,2026-09,0.567,2026,8
6.5,-51.5,1,2026-09,0.5595,2026,8
6.5,-50.5,1,2026-09,0.5614,2026,8
6.5,-49.5,1,2026-09,0.5714,2026,8
6.5,-48.5,1,2026-09,0.5732,2026,8
6.5,-47.5,1,2026-09,0.5873,2026,8
6.5,-46.5,1,2026-09,0.6286,2026,8
6.5,-45.5,1,2026-09,0.6376,2026,8
6.5,-44.5,1,2026-09,0.6222,2026,8
6.5,-43.5,1,2026-09,0.6288,2026,8
6.5,-42.5,1,2026-09,0.6476,2026,8
6.5,-41.5,1,2026-09,0.6815,2026,8
6.5,-40.5,1,2026-09,0.7399,2026,8
6.5,-39.5,1,2026-09,0.7858,2026,8
6.5,-38.5,1,2026-09,0.8236,2026,8
6.5,-37.5,1,2026-09,0.8534,2026,8
6.5,-36.5,1,2026-09,0.8622,2026,8
6.5,-35.5,1,2026-09,0.8588,2026,8
6.5,-34.5,1,2026-09,0.8595,2026,8
