year,month,pdo,date
1984,4,1.52,1984-04-01
1984,5,1.3,1984-05-01
1984,6,0.18,1984-06-01
1984,7,-0.18,1984-07-01
1984,8,-0.03,1984-08-01
1984,9,0.67,1984-09-01
1984,10,0.58,1984-10-01
1984,11,0.71,1984-11-01
1984,12,0.82,1984-12-01
1985,1,1.27,1985-01-01
1985,2,0.94,1985-02-01
1985,3,0.57,1985-03-01
1985,4,0.19,1985-04-01
1985,5,0.0,1985-05-01
1985,6,0.18,1985-06-01
1985,7,1.07,1985-07-01
1985,8,0.81,1985-08-01
1985,9,0.44,1985-09-01
1985,10,0.29,1985-10-01
1985,11,-0.75,1985-11-01
1985,12,0.38,1985-12-01
1986,1,1.12,1986-01-01
1986,2,1.61,1986-02-01
1986,3,2.18,1986-03-01
1986,4,1.55,1986-04-01
1986,5,1.16,1986-05-01
1986,6,0.89,1986-06-01
1986,7,1.38,1986-07-01
1986,8,0.22,1986-08-01
1986,9,0.22,1986-09-01
1986,10,1.0,1986-10-01
1986,11,1.77,1986-11-01
1986,12,1.77,1986-12-01
1987,1,1.88,1987-01-01
1987,2,1.75,1987-02-01
1987,3,2.1,1987-03-01
1987,4,2.16,1987-04-01
1987,5,1.85,1987-05-01
1987,6,0.73,1987-06-01
1987,7,2.01,1987-07-01
1987,8,2.83,1987-08-01
1987,9,2.44,1987-09-01
1987,10,1.36,1987-10-01
1987,11,1.47,1987-11-01
1987,12,1.27,1987-12-01
1988,1,0.93,1988-01-01
1988,2,1.24,1988-02-01
1988,3,1.42,1988-03-01
1988,4,0.94,1988-04-01
1988,5,1.2,1988-05-01
1988,6,0.74,1988-06-01
1988,7,0.64,1988-07-01
1988,8,0.19,1988-08-01
1988,9,-0.37,1988-09-01
1988,10,-0.1,1988-10-01
1988,11,-0.02,1988-11-01
1988,12,-0.43,1988-12-01
1989,1,-0.95,1989-01-01
1989,2,-1.02,1989-02-01
1989,3,-0.83,1989-03-01
1989,4,-0.32,1989-04-01
1989,5,0.47,1989-05-01
1989,6,0.36,1989-06-01
1989,7,0.83,1989-07-01
1989,8,0.09,1989-08-01
1989,9,0.05,1989-09-01
1989,10,-0.12,1989-10-01
1989,11,-0.5,1989-11-01
1989,12,-0.21,1989-12-01
1990,1,-0.3,1990-01-01
1990,2,-0.65,1990-02-01
1990,3,-0.62,1990-03-01
1990,4,0.27,1990-04-01
1990,5,0.44,1990-05-01
1990,6,0.44,1990-06-01
1990,7,0.27,1990-07-01
1990,8,0.11,1990-08-01
1990,9,0.38,1990-09-01
1990,10,-0.69,1990-10-01
1990,11,-1.69,1990-11-01
1990,12,-2.23,1990-12-01
1991,1,-2.02,1991-01-01
