year,season,oni
2014,SON,0.54
2014,OND,0.71
2014,NDJ,0.77
2015,DJF,0.69
2015,JFM,0.61
2015,FMA,0.65
2015,MAM,0.81
2015,AMJ,1.02
2015,MJJ,1.25
2015,JJA,1.57
2015,JAS,1.91
2015,ASO,2.21
2015,SON,2.47
2015,OND,2.64
2015,NDJ,2.75
2016,DJF,2.63
2016,JFM,2.28
2016,FMA,1.71
2016,MAM,1.05
2016,AMJ,0.49
2016,MJJ,0.0
2016,JJA,-0.31
2016,JAS,-0.5
2016,ASO,-0.58
2016,SON,-0.64
2016,OND,-0.6
2016,NDJ,-0.45
2017,DJF,-0.19
2017,JFM,-0.02
2017,FMA,0.18
2017,MAM,0.31
2017,AMJ,0.4
2017,MJJ,0.39
2017,JJA,0.19
2017,JAS,-0.07
2017,ASO,-0.34
2017,SON,-0.6
2017,OND,-0.77
2017,NDJ,-0.86
2018,DJF,-0.77
2018,JFM,-0.71
2018,FMA,-0.57
2018,MAM,-0.39
2018,AMJ,-0.13
2018,MJJ,0.06
2018,JJA,0.14
2018,JAS,0.27
2018,ASO,0.53
2018,SON,0.81
2018,OND,0.97
2018,NDJ,0.92
2019,DJF,0.89
2019,JFM,0.86
2019,FMA,0.84
2019,MAM,0.77
2019,AMJ,0.64
2019,MJJ,0.52
2019,JJA,0.33
2019,JAS,0.19
2019,ASO,0.23
2019,SON,0.39
2019,OND,0.58
2019,NDJ,0.66
2020,DJF,0.64
2020,JFM,0.63
2020,FMA,0.53
2020,MAM,0.3
2020,AMJ,0.01
2020,MJJ,-0.23
2020,JJA,-0.36
2020,JAS,-0.53
2020,ASO,-0.85
2020,SON,-1.12
2020,OND,-1.2
2020,NDJ,-1.08
2021,DJF,-0.91
2021,JFM,-0.79
2021,FMA,-0.71
2021,MAM,-0.55
2021,AMJ,-0.39
2021,MJJ,-0.3
2021,JJA,-0.35
2021,JAS,-0.45
2021,ASO,-0.63
2021,SON,-0.76
2021,OND,-0.91
2021,NDJ,-0.87
2022,DJF,-0.82
2022,JFM,-0.79
2022,FMA,-0.86
2022,MAM,-0.95
2022,AMJ,-0.9
2022,MJJ,-0.78
2022,JJA,-0.76
2022,JAS,-0.87
2022,ASO,-0.97
2022,SON,-0.94
2022,OND,-0.85
2022,NDJ,-0.71
2023,DJF,-0.54
2023,JFM,-0.29
2023,FMA,-0.02
2023,MAM,0.27
2023,AMJ,0.57
2023,MJJ,0.84
2023,JJA,1.12
2023,JAS,1.37
2023,ASO,1.6
2023,SON,1.83
2023,OND,1.99
2023,NDJ,2.06
2024,DJF,1.92
2024,JFM,1.62
2024,FMA,1.26
2024,MAM,0.82
2024,AMJ,0.49
2024,MJJ,0.22
2024,JJA,0.08
2024,JAS,-0.07
2024,ASO,-0.17
2024,SON,-0.21
2024,OND,-0.3
2024,NDJ,-0.42
2025,DJF,-0.45
2025,JFM,-0.24
2025,FMA,-0.06
2025,MAM,0.02
2025,AMJ,-0.02
2025,MJJ,-0.04
2025,JJA,-0.14
2025,JAS,-0.28
2025,ASO,-0.4
2025,SON,-0.51
2025,OND,-0.55
2025,NDJ,-0.54
2026,DJF,-0.37
2026,JFM,-0.16
