lat,lon,sst,anom,date
-67.875,-41.875,-1.8,-0.036,2026-06
-67.875,-39.875,-1.8,-0.035,2026-06
-67.875,-37.875,-1.8,-0.037,2026-06
-67.875,-35.875,-1.8,-0.042,2026-06
-67.875,-33.875,-1.797,-0.041,2026-06
-67.875,-31.875,-1.799,-0.045,2026-06
-67.875,-29.875,-1.8,-0.05,2026-06
-67.875,-27.875,-1.797,-0.043,2026-06
-67.875,-25.875,-1.794,-0.041,2026-06
-67.875,-23.875,-1.799,-0.047,2026-06
-67.875,-21.875,-1.8,-0.047,2026-06
-67.875,-19.875,-1.8,-0.046,2026-06
-67.875,-17.875,-1.8,-0.047,2026-06
-67.875,-15.875,-1.79,-0.035,2026-06
-67.875,-13.875,-1.8,-0.047,2026-06
-67.875,-11.875,-1.795,-0.042,2026-06
-67.875,-9.875,-1.8,-0.045,2026-06
-67.875,-7.875,-1.8,-0.046,2026-06
-67.875,-5.875,-1.8,-0.046,2026-06
-67.875,-3.875,-1.798,-0.053,2026-06
-67.875,-1.875,-1.79,-0.045,2026-06
-65.875,0.125,-1.348,0.361,2026-06
-65.875,2.125,-1.614,0.106,2026-06
-65.875,4.125,-1.488,0.219,2026-06
-65.875,6.125,-1.432,0.245,2026-06
-65.875,8.125,-1.48,0.219,2026-06
-65.875,10.125,-1.596,0.112,2026-06
-65.875,12.125,-1.694,0.037,2026-06
-65.875,14.125,-1.7,0.032,2026-06
-65.875,16.125,-1.723,0.009,2026-06
-65.875,18.125,-1.785,-0.042,2026-06
-65.875,20.125,-1.779,-0.036,2026-06
-65.875,22.125,-1.783,-0.041,2026-06
-65.875,24.125,-1.747,-0.01,2026-06
-65.875,26.125,-1.636,0.087,2026-06
-65.875,28.125,-1.639,0.074,2026-06
-65.875,30.125,-1.599,0.107,2026-06
-65.875,32.125,-1.71,-0.001,2026-06
-65.875,34.125,-1.758,-0.054,2026-06
-65.875,36.125,-1.509,0.132,2026-06
-65.875,38.125,-1.385,0.236,2026-06
-65.875,40.125,-1.344,0.237,2026-06
-65.875,42.125,-1.517,0.07,2026-06
-65.875,44.125,-1.514,0.126,2026-06
-65.875,46.125,-1.592,0.079,2026-06
