year,month,nino12,date
1982,12,3.16,1982-12-01
1983,1,2.65,1983-01-01
1983,2,2.03,1983-02-01
1983,3,2.23,1983-03-01
1983,4,3.32,1983-04-01
1983,5,3.85,1983-05-01
1983,6,4.24,1983-06-01
1983,7,3.8,1983-07-01
1983,8,2.93,1983-08-01
1983,9,1.37,1983-09-01
1983,10,0.99,1983-10-01
1983,11,0.4,1983-11-01
1983,12,0.21,1983-12-01
1984,1,-0.39,1984-01-01
1984,2,-0.88,1984-02-01
1984,3,-0.87,1984-03-01
1984,4,-0.23,1984-04-01
1984,5,-1.11,1984-05-01
1984,6,-0.95,1984-06-01
1984,7,-0.63,1984-07-01
1984,8,-0.56,1984-08-01
1984,9,-0.07,1984-09-01
1984,10,-0.51,1984-10-01
1984,11,-0.13,1984-11-01
1984,12,-0.4,1984-12-01
1985,1,-0.78,1985-01-01
1985,2,-1.38,1985-02-01
1985,3,-0.89,1985-03-01
1985,4,-1.37,1985-04-01
1985,5,-1.88,1985-05-01
1985,6,-1.27,1985-06-01
1985,7,-1.4,1985-07-01
1985,8,-1.23,1985-08-01
1985,9,-0.99,1985-09-01
1985,10,-0.92,1985-10-01
1985,11,-0.79,1985-11-01
1985,12,-0.38,1985-12-01
1986,1,-0.0,1986-01-01
1986,2,-0.1,1986-02-01
1986,3,-0.73,1986-03-01
1986,4,-0.85,1986-04-01
1986,5,-1.18,1986-05-01
1986,6,-1.08,1986-06-01
1986,7,-0.49,1986-07-01
1986,8,-0.1,1986-08-01
1986,9,0.18,1986-09-01
1986,10,0.25,1986-10-01
1986,11,0.36,1986-11-01
1986,12,0.6,1986-12-01
1987,1,0.99,1987-01-01
1987,2,0.97,1987-02-01
1987,3,1.44,1987-03-01
1987,4,1.56,1987-04-01
1987,5,1.52,1987-05-01
1987,6,0.98,1987-06-01
1987,7,1.03,1987-07-01
1987,8,0.82,1987-08-01
1987,9,1.1,1987-09-01
1987,10,1.45,1987-10-01
1987,11,1.14,1987-11-01
1987,12,0.67,1987-12-01
1988,1,0.02,1988-01-01
1988,2,-0.31,1988-02-01
1988,3,-0.81,1988-03-01
1988,4,-0.83,1988-04-01
1988,5,-1.26,1988-05-01
1988,6,-1.66,1988-06-01
1988,7,-1.37,1988-07-01
1988,8,-1.46,1988-08-01
1988,9,-1.29,1988-09-01
1988,10,-1.2,1988-10-01
1988,11,-0.96,1988-11-01
1988,12,-0.75,1988-12-01
1989,1,-0.3,1989-01-01
1989,2,-0.06,1989-02-01
1989,3,-0.15,1989-03-01
1989,4,-0.09,1989-04-01
1989,5,-1.2,1989-05-01
1989,6,-1.08,1989-06-01
1989,7,-0.79,1989-07-01
1989,8,-0.3,1989-08-01
1989,9,-0.65,1989-09-01
1989,10,-0.48,1989-10-01
1989,11,-0.24,1989-11-01
1989,12,-0.4,1989-12-01
1990,1,-0.48,1990-01-01
1990,2,-0.16,1990-02-01
1990,3,-0.44,1990-03-01
1990,4,-0.52,1990-04-01
1990,5,-0.24,1990-05-01
1990,6,-0.3,1990-06-01
1990,7,-0.66,1990-07-01
1990,8,-0.44,1990-08-01
1990,9,-0.49,1990-09-01
1990,10,-0.7,1990-10-01
1990,11,-0.65,1990-11-01
1990,12,-0.5,1990-12-01
1991,1,-0.54,1991-01-01
1991,2,-0.38,1991-02-01
1991,3,-0.21,1991-03-01
1991,4,-0.3,1991-04-01
1991,5,-0.33,1991-05-01
1991,6,0.21,1991-06-01
1991,7,0.6,1991-07-01
1991,8,0.37,1991-08-01
1991,9,0.46,1991-09-01
